epoch,train_loss,val_rmse,val_r2,val_spearman,val_pearson,val_mae,lr,time_s
1,3.729274239739177,1.7305810451507568,0.048803508281707764,0.27967225871544,0.26157674193382263,1.3736275434494019,0.001,33.652097940444946
2,2.8243740752013493,1.7526394128799438,0.024400770664215088,0.306835213526411,0.2971007823944092,1.3868069648742676,0.001,26.79164743423462
3,2.712998151779175,1.7216769456863403,0.058566510677337646,0.3410512333990627,0.33326780796051025,1.3738515377044678,0.001,26.2288556098938
4,2.60905628673599,1.729182481765747,0.050340354442596436,0.332268885843987,0.32311394810676575,1.3716264963150024,0.001,29.044770002365112
5,2.539393578798586,1.7249794006347656,0.05495142936706543,0.3361674240583388,0.3266209363937378,1.360535740852356,0.001,27.224833250045776
6,2.479582327379147,1.727910041809082,0.05173748731613159,0.33791984840097933,0.330694317817688,1.371692419052124,0.001,27.84978199005127
7,2.438988435339501,1.6942832469940186,0.08828657865524292,0.34331876391488875,0.3384278416633606,1.3397884368896484,0.001,28.54062819480896
8,2.3792564675774774,1.7136141061782837,0.06736356019973755,0.3542634053857578,0.3489990532398224,1.3549062013626099,0.001,29.83725333213806
9,2.361493805767765,1.700573205947876,0.08150458335876465,0.3571888701112376,0.3504430651664734,1.3469353914260864,0.001,28.29849147796631
10,2.2870874677453314,1.7582929134368896,0.018096566200256348,0.3529524926542061,0.34628060460090637,1.3935450315475464,0.001,28.552525281906128
11,2.2625432304786166,1.6685951948165894,0.1157231330871582,0.36442567615356825,0.3548685312271118,1.3236268758773804,0.001,27.03620147705078
12,2.1965760923996123,1.7023413181304932,0.07959359884262085,0.3648409542107109,0.3590981364250183,1.348582148551941,0.001,26.104055404663086
13,2.1647771718961817,1.7297742366790771,0.049690306186676025,0.35278735007916473,0.349039226770401,1.3761252164840698,0.001,26.193103313446045
14,2.139382515939519,1.6757605075836182,0.1081121563911438,0.3775766114182161,0.37143924832344055,1.3324083089828491,0.001,25.501068592071533
15,2.079945885044917,1.705369472503662,0.076316237449646,0.353275169563431,0.35336923599243164,1.3521076440811157,0.001,27.38827872276306
16,2.056137856266371,1.7174841165542603,0.06314629316329956,0.36274736992790735,0.3578615188598633,1.367234468460083,0.001,26.347184658050537
17,2.0154540220027415,1.7094441652297974,0.07189702987670898,0.34220025255999226,0.34300515055656433,1.3652808666229248,0.001,29.411680459976196
18,1.9848486333196727,1.684539556503296,0.09874272346496582,0.36687485305441864,0.3631347715854645,1.3384701013565063,0.001,27.549992084503174
19,1.9355066341623872,1.72993803024292,0.049510300159454346,0.3570374316603577,0.3518003523349762,1.3756486177444458,0.0005,26.842724084854126
20,1.7718620508849976,1.6970292329788208,0.08532887697219849,0.3638500767838107,0.36867639422416687,1.3505779504776,0.0005,29.32644510269165
21,1.719189520384635,1.702546238899231,0.07937204837799072,0.3646917698263888,0.36321842670440674,1.3470300436019897,0.0005,25.51841974258423
22,1.6537540248089708,1.7200950384140015,0.06029564142227173,0.3547523494225897,0.35874325037002563,1.3650951385498047,0.0005,25.17255449295044
23,1.6015489767370357,1.7148710489273071,0.06599491834640503,0.36539703763021797,0.36563870310783386,1.36318039894104,0.0005,23.95640730857849
24,1.58001410202762,1.7298212051391602,0.04963868856430054,0.3633430702987017,0.3642435669898987,1.3669462203979492,0.0005,24.112931966781616
25,1.5335969869232557,1.7226160764694214,0.057539165019989014,0.37441155885960814,0.3799550533294678,1.3677315711975098,0.0005,24.45150113105774
26,1.4989413745834623,1.7521684169769287,0.024924933910369873,0.36416605588415046,0.3729158043861389,1.3863554000854492,0.0005,25.34410333633423
