config,dim,n_train,val_R2,val_spearman_rho,val_pearson_r,val_RMSE,val_MAE,val_NLL,test_R2,test_spearman_rho,test_pearson_r,test_RMSE,test_MAE,test_NLL
z_global_only,128,16108,0.22097498178482056,0.4876094077618741,0.4817129969596863,1.5661470890045166,1.2318872213363647,1.8674877882003784,0.4218865633010864,0.671864745630901,0.6730937361717224,1.6502496004104614,1.3443493843078613,1.931095838546753
z_interaction_only,128,16096,0.08309763669967651,0.36465434847515515,0.3630716800689697,1.6990978717803955,1.3332825899124146,1.9571776390075684,0.30357468128204346,0.5574587127954578,0.5546821355819702,1.8112581968307495,1.4643945693969727,2.038950204849243
z_global+z_interaction,256,16096,0.2505190372467041,0.5146344944862032,0.5096831321716309,1.5361623764038086,1.2063838243484497,1.850597858428955,0.44162070751190186,0.6895250295238908,0.6886427402496338,1.621838927268982,1.3217248916625977,1.9177601337432861
z_global+z_shuffled,256,16096,0.2897905707359314,0.5445671426401318,0.5407335758209229,1.4953747987747192,1.1780775785446167,1.823861837387085,0.46694743633270264,0.7066612201603808,0.7076936364173889,1.5846308469772339,1.2695002555847168,1.8955051898956299
