config,dim,n_train,val_R2,val_spearman_rho,val_pearson_r,val_RMSE,val_MAE,val_NLL,test_R2,test_spearman_rho,test_pearson_r,test_RMSE,test_MAE,test_NLL
z_global_only,128,16108,0.2522820830345154,0.5095963984757919,0.5042363405227661,1.534354567527771,1.2096935510635376,1.8456566333770752,0.4377729296684265,0.691583819205582,0.6933012008666992,1.6274174451828003,1.3350825309753418,1.9147417545318604
z_interaction_only,128,16096,0.12064123153686523,0.3973331572971856,0.39812421798706055,1.6639485359191895,1.31073796749115,1.9538248777389526,0.43253093957901,0.6665605693692712,0.6661289930343628,1.6349865198135376,1.3061364889144897,1.930985927581787
z_global+z_interaction,256,16096,0.2028701901435852,0.4865816263110088,0.4865575432777405,1.5842413902282715,1.2528407573699951,1.8970251083374023,0.47172677516937256,0.7109268001416963,0.7116201519966125,1.577510952949524,1.2619013786315918,1.892777919769287
z_global+z_shuffled,256,16096,0.25948941707611084,0.5200087026065828,0.5200933218002319,1.5269417762756348,1.2077717781066895,1.8474268913269043,0.4691816568374634,0.7060881389585404,0.7089236378669739,1.5813064575195312,1.266441822052002,1.8916010856628418
