epoch,train_loss,val_rmse,val_r2,val_spearman,val_pearson,val_mae,lr,time_s
1,3.7114809042890786,1.700097918510437,0.08201795816421509,0.3173823789418864,0.31378281116485596,1.3648015260696411,0.001,37.49750828742981
2,2.8383061589587992,1.7412830591201782,0.037002623081207275,0.33270561620554007,0.32981666922569275,1.3798978328704834,0.001,27.927428722381592
3,2.7022539749297185,1.6778048276901245,0.105934739112854,0.3510977408836376,0.34109508991241455,1.3316758871078491,0.001,28.214560747146606
4,2.6146309987214167,1.6937973499298096,0.08880937099456787,0.3510830531515385,0.33502018451690674,1.336814284324646,0.001,27.74346351623535
5,2.571942175121952,1.7082456350326538,0.07319796085357666,0.3488950285527481,0.3355889916419983,1.3507730960845947,0.001,26.642524480819702
6,2.4841482362026723,1.7350695133209229,0.04386305809020996,0.35286348651766725,0.33276546001434326,1.3748700618743896,0.001,30.635268926620483
7,2.433503593531091,1.7092934846878052,0.07206064462661743,0.360583495952028,0.34949779510498047,1.3581342697143555,0.001,29.99197006225586
8,2.387794310245552,1.7025089263916016,0.07941240072250366,0.35782363326051325,0.3433060050010681,1.3529192209243774,0.001,28.51737141609192
9,2.359996141069689,1.7247912883758545,0.055157482624053955,0.35482621464732783,0.34555625915527344,1.3724217414855957,0.001,27.2099392414093
10,2.2906126779306004,1.7393324375152588,0.03915899991989136,0.35843357043423485,0.3436822295188904,1.3848847150802612,0.001,28.147013664245605
11,2.2798986748364527,1.7122834920883179,0.06881135702133179,0.36937589700202295,0.3540710508823395,1.3493919372558594,0.0005,26.978333711624146
12,2.112654047505282,1.6993619203567505,0.0828126072883606,0.3815344086388154,0.3671051859855652,1.3409520387649536,0.0005,27.09224772453308
13,2.0747548853663753,1.7599101066589355,0.016289472579956055,0.3825060806385389,0.37173837423324585,1.3888232707977295,0.0005,25.195940732955933
14,2.0365505034833493,1.6862937211990356,0.09686475992202759,0.3973301648724611,0.3808773159980774,1.326159119606018,0.0005,25.945167541503906
15,1.9901757890851075,1.6986472606658936,0.08358383178710938,0.3838344993072591,0.37483495473861694,1.3427295684814453,0.0005,26.151183366775513
16,1.9624789390364887,1.7118581533432007,0.0692739486694336,0.38648193454860497,0.37315934896469116,1.3701778650283813,0.0005,25.23750948905945
17,1.9061042970975872,1.6930160522460938,0.08964991569519043,0.38637943433573163,0.37530001997947693,1.3528406620025635,0.0005,26.59008765220642
18,1.8550342349835467,1.7088767290115356,0.0725131630897522,0.4014292963401945,0.39103084802627563,1.3391597270965576,0.0005,26.875386953353882
