epoch,train_loss,val_rmse,val_r2,val_spearman,val_pearson,val_mae,lr,time_s
1,3.795700424471148,1.7076187133789062,0.07387810945510864,0.3251088437063748,0.31171083450317383,1.3745497465133667,0.001,39.35954403877258
2,3.004000413014922,1.7215701341629028,0.05868327617645264,0.33594053823048353,0.3183213472366333,1.363180160522461,0.001,32.05489659309387
3,2.919588072399496,1.6813914775848389,0.10210824012756348,0.34600787159585245,0.33292847871780396,1.3394975662231445,0.001,32.33492994308472
4,2.8714705852580593,1.659989356994629,0.12482088804244995,0.37328081030390386,0.3607410192489624,1.314313292503357,0.001,32.61657977104187
5,2.817202585828944,1.650590419769287,0.13470345735549927,0.39367465506537885,0.3733595609664917,1.3062282800674438,0.001,30.624460220336914
6,2.7392499785774036,1.6489408016204834,0.1364322304725647,0.40568803005678455,0.38472241163253784,1.300423502922058,0.001,32.84353232383728
7,2.623732047810943,1.6994184255599976,0.0827515721321106,0.4121690833701257,0.39362043142318726,1.3505823612213135,0.001,30.524645805358887
8,2.6094143144179056,1.6468201875686646,0.13865196704864502,0.4137226990384132,0.4094517230987549,1.3066073656082153,0.001,31.669416189193726
9,2.5428292853220795,1.6627755165100098,0.12188071012496948,0.43725459516110066,0.4300221800804138,1.3163268566131592,0.001,29.46130681037903
10,2.5181589005718648,1.6221156120300293,0.1643008589744568,0.44745908727209305,0.438126802444458,1.2869294881820679,0.001,30.923245429992676
11,2.499163528204438,1.6680307388305664,0.1163211464881897,0.4362621464414703,0.4277101755142212,1.316870093345642,0.001,30.45956015586853
12,2.4968639723586277,1.614058256149292,0.1725824475288391,0.43391933414450373,0.4260941445827484,1.2781637907028198,0.001,30.756632089614868
13,2.48830335159188,1.6257010698318481,0.16060250997543335,0.437732874189021,0.4328075051307678,1.286468744277954,0.001,32.48970675468445
14,2.470073020718918,1.6487826108932495,0.1365978717803955,0.4550918036831352,0.44776278734207153,1.30192232131958,0.001,32.354228019714355
15,2.4786836598549873,1.5939781665802002,0.19304168224334717,0.4604455945471647,0.44750434160232544,1.2578694820404053,0.001,30.100810289382935
16,2.4529558526829742,1.6901354789733887,0.09274494647979736,0.44821205918989765,0.4458118677139282,1.351757526397705,0.001,29.99044704437256
