config,layers,n_layers_fused,final_loss,val_R2,val_spearman_rho,val_spearman_p,val_RMSE,val_NLL,test_R2,test_spearman_rho,test_spearman_p,test_RMSE,test_NLL,learned_weights
top2,"[8, 6]",2,1.823407328096252,0.21654069423675537,0.5070286225779873,3.772751091671495e-155,1.5705980062484741,1.8713483810424805,0.4076548218727112,0.6853014392100101,7.329334897068272e-41,1.6704386472702026,1.947839379310608,"{""L8"": 0.9989500641822815, ""L6"": 0.0010500167263671756}"
top4,"[8, 6, 9, 5]",4,1.8206173615802568,0.23081183433532715,0.49722734226547,2.2845442702470667e-148,1.556227684020996,1.861112356185913,0.4206465482711792,0.6863703613612494,4.946221388485298e-41,1.652018427848816,1.9337905645370483,"{""L8"": 0.3462354838848114, ""L6"": 0.00015573958808090538, ""L9"": 0.6532126665115356, ""L5"": 0.00039614757406525314}"
all,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,1.8186113552269227,0.23883116245269775,0.49650412904619384,7.088123243775969e-148,1.5480940341949463,1.8557602167129517,0.4146500825881958,0.6849561908333246,8.319000175181305e-41,1.660545825958252,1.9403027296066284,"{""L0"": 0.0004684628511313349, ""L1"": 7.827254012227058e-05, ""L2"": 3.178212500642985e-05, ""L3"": 1.7524576833238825e-05, ""L4"": 2.5451270630583167e-05, ""L5"": 4.239409099682234e-05, ""L6"": 0.00016447791131213307, ""L7"": 0.00022193499899003655, ""L8"": 0.4071994125843048, ""L9"": 0.5917502045631409}"
