model,output_dim,mean_val_R2,std_val_R2,mean_val_spearman_rho,std_val_spearman_rho,mean_val_RMSE,std_val_RMSE,mean_val_NLL,std_val_NLL,mean_test_R2,std_test_R2,mean_test_spearman_rho,std_test_spearman_rho,mean_test_RMSE,std_test_RMSE,mean_test_NLL,std_test_NLL
ConcatMLP-d64,64,-0.0002628803253173828,0.0004690963733559478,,,1.773164415359497,0.026778057103183622,1.9929099798202514,0.014219795634860737,-0.0021237611770629885,0.00035576759338837836,,,2.1727200031280516,0.0003856724479464524,2.227398633956909,0.0009302654083698912
ConcatMLP-d128,128,-0.0002963542938232422,0.00028175923205970915,,,1.7731950521469115,0.026851543721068124,1.9930181741714477,0.014152305787484944,-0.0024403095245361327,0.0011212243604015193,,,2.1730628490447996,0.0012151525870813791,2.2271265506744387,0.001548243409004161
ConcatMLP-d256,256,-0.0003164768218994141,0.0005384627487716944,,,1.773211908340454,0.02678223223627125,1.9929291963577271,0.01418597668476615,-0.002128887176513672,0.0005112527495935592,,,2.172725534439087,0.0005541687822104216,2.2277716159820558,0.0016870436289560416
