config,layers,n_layers_fused,final_loss,val_R2,val_spearman_rho,val_spearman_p,val_RMSE,val_NLL,test_R2,test_spearman_rho,test_spearman_p,test_RMSE,test_NLL,mean_weights,weight_entropy_norm,max_cv
top2,"[8, 6]",2,1.507591403178965,0.2024974822998047,0.505199096092471,7.23566041855109e-154,1.5846117734909058,2.0586421489715576,0.49386388063430786,0.6831236788039207,1.6246596453582721e-40,1.5441046953201294,2.0079619884490967,"{""L8"": 0.44402140378952026, ""L6"": 0.5559785962104797}",0.8231645174256308,0.5675663352012634
top4,"[8, 6, 9, 5]",4,1.5156181008696763,0.11836063861846924,0.457834018791506,3.118402594274828e-123,1.666104793548584,2.170731782913208,0.4913448691368103,0.6784830429659505,8.65873881571856e-40,1.5479423999786377,2.0145881175994873,"{""L8"": 0.2766510248184204, ""L6"": 0.13917528092861176, ""L9"": 0.11972768604755402, ""L5"": 0.4644460380077362}",0.685227380144973,1.3075753450393677
all,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,1.5100863827408648,0.11986595392227173,0.45793405283554034,2.7176045308305428e-123,1.6646817922592163,2.1573402881622314,0.5134075880050659,0.7169499846592762,2.989456780088152e-46,1.513999581336975,1.9630508422851562,"{""L0"": 0.26958146691322327, ""L1"": 0.24550577998161316, ""L2"": 0.07107649743556976, ""L3"": 0.010048278607428074, ""L4"": 0.006221663672477007, ""L5"": 0.0114069115370512, ""L6"": 0.009370226413011551, ""L7"": 0.051474716514348984, ""L8"": 0.20191837847232819, ""L9"": 0.12339602410793304}",0.6518349824856218,4.792820453643799
